"subject","media","auc","missingDay"
"R_1guXFgp49E3ykEp","instagram",3576.60830161426,3
"R_1guXFgp49E3ykEp","netflix",1616.85832049447,90
"R_1il2rJ8qjsu5cXU","facebook",9594.75805093367,30
"R_1il2rJ8qjsu5cXU","instagram",6384.9127489928,7
"R_1il2rJ8qjsu5cXU","netflix",3811.22048432625,30
"R_1jCgvFpCy52Dti2","facebook",6713.86507210259,7
"R_1jCgvFpCy52Dti2","instagram",5610.33538231911,14
"R_1jCgvFpCy52Dti2","netflix",13956.7225637313,30
"R_1jNVIvOo2VZ96jp","facebook",8014.40904779998,1
"R_1jNVIvOo2VZ96jp","instagram",2122.79944415757,90
"R_1jNVIvOo2VZ96jp","netflix",4739.19546998514,14
"R_1mWNrXRYyfr2crQ","facebook",8688.55480835451,1
"R_1mWNrXRYyfr2crQ","instagram",6990.53700384334,3
"R_1mWNrXRYyfr2crQ","netflix",207.071714805356,14
"R_1n6ADnF8MKE0IPX","facebook",3878.02709957552,1
"R_1n6ADnF8MKE0IPX","instagram",5314.50435179718,7
"R_1n6ADnF8MKE0IPX","netflix",4049.24310943113,14
"R_1qgiQdhJwC4MP1o","facebook",8736.17334322858,14
"R_1qgiQdhJwC4MP1o","instagram",2797.64905018991,90
"R_1qgiQdhJwC4MP1o","netflix",1683.80084100054,14
"R_1qgjaPAMYJ2wvPa","facebook",3276.91529473326,14
"R_1qgjaPAMYJ2wvPa","instagram",1415.6983705052,30
"R_1qgjaPAMYJ2wvPa","netflix",892.15819474079,7
"R_1r0PEmApiL2PvxS","facebook",5043.84643931727,3
"R_1r0PEmApiL2PvxS","instagram",8780.21426408729,14
"R_1r0PEmApiL2PvxS","netflix",9255.3853944817,14
"R_1r2mSlboK7pj92f","netflix",4404.42209666946,1
"R_1rAYBxuFoc9jJWZ","facebook",8378.15092614727,7
"R_1rAYBxuFoc9jJWZ","instagram",7958.24519088932,3
"R_1rAYBxuFoc9jJWZ","netflix",5619.3200775236,30
"R_1rCTZLlX2YOdw1M","facebook",90.4813213998478,3
"R_1rCTZLlX2YOdw1M","instagram",9053.18584726103,30
"R_1rCTZLlX2YOdw1M","netflix",389.010263677357,3
"R_1riQui2QP7uZVMS","facebook",8487.09342762929,3
"R_1rucLlN60hIxIpi","facebook",3512.32945640463,30
"R_1rucLlN60hIxIpi","instagram",8343.28937840699,1
"R_1rucLlN60hIxIpi","netflix",6922.14335039066,30
"R_20O2i6X1Woda8O7","facebook",7684.94750807105,30
"R_20O2i6X1Woda8O7","instagram",2167.01463538108,30
"R_20O2i6X1Woda8O7","netflix",2343.91463985044,90
"R_21oIEYqgDf3G1Il","facebook",303.726326606977,90
"R_21oIEYqgDf3G1Il","instagram",-1952.47966801415,14
"R_21oIEYqgDf3G1Il","netflix",-393.563096736669,30
"R_21po2vuxteubV1O","facebook",8678.83460970374,7
"R_21po2vuxteubV1O","instagram",8765.11487947968,7
"R_21po2vuxteubV1O","netflix",8769.82336716519,30
"R_24dEY8gjoiClELs","facebook",2055.01798192621,90
"R_24dEY8gjoiClELs","instagram",1555.51942937605,90
"R_24dEY8gjoiClELs","netflix",2349.30418075574,7
"R_25WruVqpbKvi6mc","facebook",8706.89786877837,3
"R_25WruVqpbKvi6mc","instagram",3128.44817938096,14
"R_25WruVqpbKvi6mc","netflix",2591.25324396874,90
"R_25XUed6gTNSu6Jo","facebook",2585.10357526914,90
"R_25XUed6gTNSu6Jo","instagram",-510.441505446344,30
"R_25XUed6gTNSu6Jo","netflix",2730.18168470539,7
"R_26o3GZ0KBJxIgZr","facebook",5458.6043663031,7
"R_26o3GZ0KBJxIgZr","instagram",8753.95248742563,30
"R_26o3GZ0KBJxIgZr","netflix",8873.37998672034,7
"R_276XX9nvJJ34Vi9","facebook",1727.68216944533,1
"R_276XX9nvJJ34Vi9","instagram",2165.61510910939,7
"R_276XX9nvJJ34Vi9","netflix",13.8842200958208,14
"R_27KaNXyJeeMtBof","facebook",2772.51444090681,14
"R_27KaNXyJeeMtBof","instagram",2263.22405182317,7
